"DATE","IDFROM","IDTO"
"2020-06-17","20","1"
"2020-06-06","100","159"
"2020-06-07","72","248"
"2020-06-11","140","1"
"2020-06-17","99","178"
"2020-06-14","3","94"
"2020-06-30","31","71"
"2020-06-28","37","203"
"2020-06-28","144","16"
"2020-06-19","132","122"
"2020-06-07","133","129"
"2020-06-01","61","238"
"2020-06-20","247","189"
"2020-06-26","131","14"
"2020-06-21","102","147"
"2020-06-26","214","164"
"2020-06-09","118","10"
"2020-06-24","43","24"
"2020-06-29","50","80"
"2020-06-20","234","8"
"2020-06-24","108","111"
"2020-06-09","212","161"
"2020-06-28","234","226"
"2020-06-15","106","111"
"2020-06-07","194","152"
"2020-06-03","33","152"
"2020-06-25","39","127"
"2020-06-12","19","23"
"2020-06-10","104","115"
"2020-06-28","39","154"
"2020-06-22","80","83"
"2020-06-13","103","235"
"2020-06-03","14","115"
"2020-06-29","159","173"
"2020-06-06","100","92"
"2020-06-10","88","131"
"2020-06-07","224","243"
"2020-06-30","58","136"
"2020-06-17","182","172"
"2020-06-23","188","160"
"2020-06-11","100","83"
"2020-06-07","169","137"
"2020-06-23","130","36"
"2020-06-09","202","245"
"2020-06-23","233","181"
"2020-06-15","128","23"
"2020-06-12","133","242"
"2020-06-16","47","107"
"2020-06-11","17","214"
"2020-06-25","139","89"
"2020-06-23","38","226"
"2020-06-09","208","45"
"2020-06-26","97","138"
"2020-06-21","72","11"
"2020-06-29","91","34"
"2020-06-27","175","168"
"2020-06-15","173","68"
"2020-06-23","12","169"
"2020-06-04","107","242"
"2020-06-29","231","19"
"2020-06-15","219","68"
"2020-06-24","210","232"
"2020-06-01","241","76"
"2020-06-02","152","3"
"2020-06-06","178","193"
"2020-06-12","16","139"
"2020-06-09","108","151"
"2020-06-11","125","102"
"2020-06-06","235","118"
"2020-06-23","31","40"
"2020-06-17","62","6"
"2020-06-15","206","147"
"2020-06-05","27","56"
"2020-06-02","12","138"
"2020-06-09","176","141"
"2020-06-30","180","192"
"2020-06-28","193","14"
"2020-06-22","248","171"
"2020-06-29","75","162"
"2020-06-08","230","144"
"2020-06-09","25","79"
"2020-06-17","182","111"
"2020-06-24","177","71"
"2020-06-22","11","64"
"2020-06-03","40","36"
